race_title,date,departure,arrival,class,distance,vertical_meters,startlist_quality,profile_score,temperature,race_ranking,winner_time,winner_speed,profile_image_url,url
National Championships Australia ME - ITT 2024 Time Trial,2024-01-04,Mount Helen,Mount Helen,NC,37.5,392.0,11.0,18.0,,308.0,2779,48.579,,https://www.procyclingstats.com/race/australian-open-road-championships-itt/2024/result
National Championships Switzerland ME - ITT 2023 Time Trial,2023-10-01,Gansingen,Gansingen,NC,31.3,715.0,0.0,59.0,,732.0,2148,52.458,,https://www.procyclingstats.com/race/nc-switzerland-itt/2023/result
Škoda Tour Luxembourg 2023 Stage 4 (ITT),2023-09-23,Pétange,Pétange,2.Pro,23.9,237.0,532.0,14.0,15.0,35.0,1686,51.032,https://www.procyclingstats.com/images/profiles/ca/ba/tour-de-luxembourg-2023-stage-4-profile.jpg,https://www.procyclingstats.com/race/tour-de-luxembourg/2023/stage-4
European Continental Championships ME - ITT 2023 Time Trial,2023-09-20,Emmen,Emmen,CC,28.7,84.0,139.0,0.0,21.0,134.0,1890,54.667,https://www.procyclingstats.com/images/profiles/ca/be/uec-road-european-championships-itt-2023-result-profile-n2.png,https://www.procyclingstats.com/race/uec-road-european-championships-itt/2023/result
La Vuelta Ciclista a España 2023 Stage 10 (ITT),2023-09-05,Valladolid,Valladolid,2.UWT,25.8,115.0,846.0,5.0,,17.0,1659,55.986,https://www.procyclingstats.com/images/profiles/ca/ea/vuelta-a-espana-2023-stage-10-profile.jpg,https://www.procyclingstats.com/race/vuelta-a-espana/2023/stage-10
Renewi Tour 2023 Stage 2 (ITT),2023-08-24,Sluis,Sluis,2.UWT,13.6,12.0,584.0,0.0,23.0,30.0,905,54.099,https://www.procyclingstats.com/images/profiles/ca/bd/renewi-tour-2023-stage-2-profile.jpg,https://www.procyclingstats.com/race/renewi-tour/2023/stage-2
Tour Poitou - Charentes en Nouvelle Aquitaine 2023 Stage 3b (ITT),2023-08-24,La Roche-Posay,La Roche-Posay,2.1,22.1,183.0,154.0,2.0,27.0,125.0,1513,52.584,https://www.procyclingstats.com/images/profiles/ca/bb/tour-du-poitou-charentes-et-de-la-vienne-2023-stage-3b-profile.png,https://www.procyclingstats.com/race/tour-du-poitou-charentes-et-de-la-vienne/2023/stage-3b
Deutschland Tour 2023 Prologue,2023-08-23,Sankt Wendel,Sankt Wendel,2.Pro,2.3,15.0,354.0,1.0,29.0,59.0,143,57.902,https://www.procyclingstats.com/images/profiles/ca/ae/deutschland-tour-2023-prologue-profile.png,https://www.procyclingstats.com/race/deutschland-tour/2023/prologue
Volta a Portugal em Bicicleta 2023 Stage 10 (ITT),2023-08-20,Viana do Castelo,Viana do Castelo (Sta. Luiza),2.1,17.9,317.0,28.0,23.0,,194.0,1496,43.075,https://www.procyclingstats.com/images/profiles/ca/ff/volta-a-portugal-2023-stage-10-profile-n2.png,https://www.procyclingstats.com/race/volta-a-portugal/2023/stage-10
PostNord Danmark Rundt - Tour of Denmark 2023 Stage 5 (ITT),2023-08-19,Helsingør,Helsingør,2.Pro,16.1,69.0,228.0,0.0,,94.0,1070,54.168,https://www.procyclingstats.com/images/profiles/ca/ef/tour-of-denmark-2023-stage-5-profile.jpg,https://www.procyclingstats.com/race/tour-of-denmark/2023/stage-5
World Championships ME - ITT 2023 Time Trial,2023-08-11,Stirling,Stirling,WC,47.8,280.0,392.0,15.0,21.0,51.0,3319,51.847,https://www.procyclingstats.com/images/profiles/ca/aa/world-championship-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/world-championship-itt/2023/result
Volta a Portugal em Bicicleta 2023 Prologue,2023-08-09,Viseu,Viseu,2.1,3.6,10.0,28.0,0.0,28.0,194.0,238,54.454,https://www.procyclingstats.com/images/profiles/ca/bf/volta-a-portugal-2023-prologue-profile.jpg,https://www.procyclingstats.com/race/volta-a-portugal/2023/prologue
Tour de Pologne 2023 Stage 6 (ITT),2023-08-03,Katowice,Katowice,2.UWT,16.6,127.0,500.0,3.0,20.0,36.0,1150,51.965,https://www.procyclingstats.com/images/profiles/ca/ca/tour-de-pologne-2023-stage-6-profile.jpg,https://www.procyclingstats.com/race/tour-de-pologne/2023/stage-6
Ethias-Tour de Wallonie 2023 Stage 4 (ITT),2023-07-25,Mons,Mons,2.Pro,32.7,280.0,251.0,3.0,19.0,94.0,2281,51.609,https://www.procyclingstats.com/images/profiles/ca/fe/tour-de-wallonie-2023-stage-4-profile.png,https://www.procyclingstats.com/race/tour-de-wallonie/2023/stage-4
Tour de France 2023 Stage 16 (ITT),2023-07-18,Passy,Combloux,2.UWT,22.4,636.0,1584.0,109.0,31.0,1.0,1956,41.227,https://www.procyclingstats.com/images/profiles/ca/fe/tour-de-france-2023-stage-16-profile-n2.png,https://www.procyclingstats.com/race/tour-de-france/2023/stage-16
National Championships Venezuela ME - ITT 2023 Time Trial,2023-07-14,San Juan de los Morros,San Juan de los Morros,NC,34.8,,0.0,,,775.0,2464,50.844,,https://www.procyclingstats.com/race/nc-venezuela-itt/2023/result
National Championships Portugal ME - ITT 2023 Time Trial,2023-06-23,Mogadouro,Mogadouro,NC,33.6,311.0,0.0,9.0,,772.0,2331,51.892,,https://www.procyclingstats.com/race/nc-portugal/2023/result
National Championships Germany ME - ITT 2023 Time Trial,2023-06-23,Donaueschingen,Bad Dürrheim,NC,32.2,252.0,0.0,9.0,,772.0,2332,49.708,,https://www.procyclingstats.com/race/nc-germany-itt/2023/result
National Championships Spain ME - ITT 2023 Time Trial,2023-06-23,Sevilla la Nueva,Sevilla la Nueva,NC,32.0,251.0,0.0,10.0,,772.0,2204,52.269,,https://www.procyclingstats.com/race/nc-spain-itt/2023/result
National Championships Belgium ME - ITT 2023 Time Trial,2023-06-22,Herzele,Herzele,NC,42.0,386.0,0.0,8.0,19.0,771.0,3112,48.586,https://www.procyclingstats.com/images/profiles/ca/ec/nc-belgium-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-belgium-itt/2023/result
National Championships Norway ME - ITT 2023 Time Trial,2023-06-22,Oltedal,Oltedal,NC,21.6,109.0,0.0,2.0,17.0,771.0,1454,53.48,https://www.procyclingstats.com/images/profiles/ca/ce/nc-norway-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-norway-itt/2023/result
National Championships Sweden ME - ITT 2023 Time Trial,2023-06-22,Björklinge,Björklinge,NC,29.7,132.0,0.0,0.0,25.0,771.0,2116,50.529,https://www.procyclingstats.com/images/profiles/ca/cc/nc-sweden-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-sweden-itt/2023/result
National Championships Slovenia ME - ITT 2023 Time Trial,2023-06-22,Zgornje Gorje,Pokljuka,NC,15.7,744.0,0.0,115.0,26.0,771.0,1783,31.699,https://www.procyclingstats.com/images/profiles/ca/cd/nc-slovenia-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-slovenia-itt/2023/result
National Championships United States ME - ITT 2023 Time Trial,2023-06-22,Oak Ridge,Oak Ridge,NC,34.9,346.0,0.0,22.0,,771.0,2439,51.513,https://www.procyclingstats.com/images/profiles/ca/ca/nc-usa-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-usa-itt/2023/result
National Championships Denmark ME - ITT 2023 Time Trial,2023-06-22,Aalborg,Aalborg,NC,39.6,133.0,0.0,1.0,20.0,771.0,2742,51.991,https://www.procyclingstats.com/images/profiles/ca/bc/nc-denmark-itt-2023-result-profile.jpg,https://www.procyclingstats.com/race/nc-denmark-itt/2023/result
